,OFFENSE_CODE_GROUP,SHOOTING,MONTH,DAY_OF_WEEK,HOUR,Population density (per square mile of land area),BLDG_VAL,LAND_VAL,light_density,Lat,Long,latbin,longbin,light_count,graffiti_count
14935,3,0,11,1,18,15913.2,1293.2300348978956,31.015854560044154,0.5685776635314201,42.29881968,-71.06570084,19.0,34.0,0.0,15.0
14936,0,0,11,1,17,15744.4,10385.58753470393,109.6077526723893,0.644977502734262,42.32935284,-71.05601628,28.0,37.0,0.0,11.0
14937,4,0,11,1,16,12192.0,278.37751019157207,165.24973777655984,0.6789407791261824,42.37712014,-71.03988283,42.0,41.0,0.0,30.0
14938,0,0,11,3,14,15744.4,10385.58753470393,109.6077526723893,0.644977502734262,42.33818216,-71.03341955,31.0,43.0,0.0,5.0
14939,0,0,11,2,10,10617.5,1409.2454820303735,46.71120121565768,0.5292225781007307,42.31729447,-71.11157759,25.0,20.0,157.0,59.0
14940,3,0,11,1,8,19926.9,560.4326834702033,189.33304983177882,1.0,42.3413865,-71.0808255,32.0,29.0,127.0,139.0
14941,0,0,11,1,10,8352.4,2009.3176055943234,59.18511420917242,0.5256160811642326,42.38969786,-71.00957095,46.0,50.0,0.0,1.0
14942,4,0,11,3,21,24456.0,3738.859653588504,105.3781639862096,0.7830845452224167,42.32547536,-71.10253482,27.0,23.0,150.0,71.0
14943,4,0,11,3,19,24456.0,3738.859653588504,105.3781639862096,0.7830845452224167,42.32483301,-71.10164757,27.0,23.0,150.0,71.0
14944,3,0,11,3,13,14884.4,1040.9840961403406,31.260814914057196,0.6407326088748726,42.30839354,-71.06473124,22.0,34.0,0.0,20.0
14945,0,0,11,3,15,24074.6,5490.16935804632,260.90547781802087,0.7288999865794336,42.3322228,-71.07167184,29.0,32.0,113.0,14.0
14946,3,0,11,3,9,26693.9,3362.723369137441,581.8827421171961,0.6991764355513952,42.36080151,-71.06782813,38.0,33.0,79.0,43.0
14947,4,0,11,3,5,8352.4,2009.3176055943234,59.18511420917242,0.5256160811642326,42.37977166,-71.02730041,43.0,45.0,0.0,25.0
14948,4,0,11,2,21,10617.5,1409.2454820303735,46.71120121565768,0.5292225781007307,42.300945,-71.10606700000002,20.0,21.0,0.0,1.0
14949,0,0,11,2,11,15744.4,10385.58753470393,109.6077526723893,0.644977502734262,42.33051057,-71.04244433,29.0,41.0,0.0,5.0
14950,0,0,11,4,8,16236.4,1135.6418127681031,46.78040780488331,0.5745571799349198,42.34724186,-71.14870339,34.0,9.0,109.0,13.0
14951,0,0,11,0,7,15913.2,1293.2300348978956,31.015854560044154,0.5685776635314201,42.29208636,-71.06541574,17.0,34.0,0.0,21.0
