latbin,longbin,graffiti_count
36.0,5.0,5
36.0,6.0,2
36.0,7.0,10
36.0,8.0,9
36.0,9.0,14
36.0,10.0,19
36.0,11.0,36
36.0,12.0,52
36.0,13.0,280
36.0,14.0,396
36.0,15.0,200
36.0,16.0,151
36.0,17.0,16
36.0,18.0,1
36.0,29.0,2
36.0,30.0,41
36.0,31.0,40
36.0,32.0,70
36.0,33.0,45
36.0,34.0,36
36.0,35.0,59
36.0,36.0,17
36.0,37.0,89
36.0,38.0,38
36.0,39.0,12
37.0,4.0,2
37.0,6.0,6
37.0,7.0,12
37.0,8.0,14
37.0,9.0,6
37.0,10.0,16
37.0,11.0,54
37.0,12.0,24
37.0,13.0,50
37.0,14.0,135
37.0,15.0,150
37.0,16.0,111
37.0,17.0,5
37.0,18.0,5
37.0,32.0,59
37.0,33.0,57
37.0,34.0,56
37.0,35.0,33
37.0,36.0,4387
37.0,37.0,114
37.0,38.0,101
37.0,39.0,1
38.0,9.0,1
38.0,10.0,31
38.0,11.0,51
38.0,12.0,16
38.0,13.0,10
38.0,14.0,24
38.0,15.0,26
38.0,18.0,2
38.0,19.0,9
38.0,32.0,42
38.0,33.0,43
38.0,34.0,45
38.0,35.0,28
38.0,36.0,116
38.0,37.0,177
38.0,38.0,54
38.0,39.0,5
39.0,13.0,10
39.0,15.0,3
39.0,16.0,17
39.0,17.0,2
39.0,18.0,1
39.0,32.0,1
39.0,33.0,5
39.0,34.0,7
39.0,35.0,197
39.0,36.0,241
39.0,37.0,286
39.0,38.0,109
39.0,39.0,2
39.0,41.0,11
39.0,42.0,7
39.0,43.0,43
39.0,44.0,25
39.0,45.0,16
40.0,16.0,1
40.0,17.0,11
40.0,18.0,7
40.0,32.0,3
40.0,33.0,9
40.0,34.0,4
40.0,35.0,19
40.0,36.0,53
40.0,37.0,58
40.0,38.0,14
40.0,41.0,10
40.0,42.0,107
40.0,43.0,63
40.0,44.0,6
40.0,46.0,1
41.0,32.0,6
41.0,33.0,1
41.0,34.0,11
41.0,35.0,64
41.0,36.0,2
41.0,38.0,1
41.0,40.0,2
41.0,41.0,39
41.0,42.0,69
41.0,43.0,102
41.0,44.0,10
42.0,33.0,13
42.0,34.0,13
42.0,35.0,12
42.0,36.0,5
42.0,37.0,3
42.0,38.0,1
42.0,41.0,30
42.0,42.0,128
42.0,43.0,78
42.0,44.0,52
43.0,31.0,1
43.0,32.0,6
43.0,33.0,21
43.0,34.0,10
43.0,35.0,13
43.0,36.0,8
43.0,37.0,7
43.0,38.0,1
43.0,41.0,83
43.0,42.0,110
43.0,43.0,74
43.0,44.0,86
43.0,45.0,25
43.0,46.0,13
44.0,29.0,6
44.0,30.0,123
44.0,31.0,37
44.0,32.0,61
44.0,33.0,9
44.0,34.0,3
44.0,36.0,3
44.0,41.0,6
44.0,42.0,23
44.0,43.0,26
44.0,44.0,24
44.0,45.0,37
44.0,46.0,33
44.0,47.0,39
44.0,48.0,12
44.0,49.0,24
44.0,50.0,2
44.0,54.0,1
45.0,30.0,28
45.0,31.0,10
45.0,32.0,3
45.0,47.0,3
45.0,48.0,5
45.0,49.0,7
45.0,50.0,10
45.0,51.0,24
45.0,52.0,9
45.0,53.0,6
46.0,31.0,10
46.0,48.0,1
46.0,50.0,1
46.0,51.0,33
46.0,52.0,3
46.0,53.0,17
46.0,54.0,13
47.0,32.0,1
47.0,33.0,7
47.0,49.0,1
47.0,50.0,1
47.0,51.0,3
47.0,52.0,8
47.0,53.0,5
47.0,54.0,1
